name,val_loss,val_accuracy,loss,accuracy,runtime,build_fn_params.hidden_activation,build_fn_params.loss,build_fn_params.optimizer,build_fn_params.output_activation,dataset_params.batch_size,dataset_params.color_mode,dataset_params.crop_to_aspect_ratio,dataset_params.image_size.0,dataset_params.image_size.1,dataset_params.interpolation,dataset_params.label_mode,early_stopping_params.patience,fit_params.epochs,lr
synthesis_flint,0.5288081169128418,0.7455357313156128,0.4930058419704437,0.7628635168075562,2023-10-27 17:46:40,swish,binary_crossentropy,adam,sigmoid,32,grayscale,False,256,256,bilinear,binary,50,10000000000,0.001
backboard_savanna,0.5298639535903931,0.7544642686843872,0.44902461767196655,0.7975391745567322,2023-10-28 22:55:12,selu,binary_crossentropy,adam,sigmoid,32,grayscale,False,128,128,bilinear,binary,50,10000000000,0.001
stardom_pawing,0.531505286693573,0.7165178656578064,0.3244636654853821,0.8875839114189148,2023-10-29 09:51:55,selu,binary_crossentropy,adam,sigmoid,64,rgb,False,256,256,bilinear,binary,50,10000000000,0.001
angling_antiquely,0.5326307415962219,0.7410714030265808,0.41615015268325806,0.8411633372306824,2023-10-27 17:02:21,selu,binary_crossentropy,adam,sigmoid,32,grayscale,False,256,256,bilinear,binary,50,10000000000,0.001
garage_canopy,0.5327622890472412,0.7410714030265808,0.43207889795303345,0.8092840909957886,2023-10-27 15:44:52,selu,binary_crossentropy,adam,sigmoid,32,grayscale,False,128,128,bilinear,binary,50,10000000000,0.001
universe_unglazed,0.533524215221405,0.734375,0.5294123291969299,0.741051435470581,2023-10-27 19:30:38,relu,binary_crossentropy,adam,sigmoid,32,rgb,False,256,256,bilinear,binary,50,10000000000,0.001
immortal_mammal,0.5362605452537537,0.7410714030265808,0.41069695353507996,0.8255033493041992,2023-10-29 07:22:39,swish,binary_crossentropy,adam,sigmoid,64,grayscale,False,256,256,bilinear,binary,50,10000000000,0.001
amusement_gander,0.5367230176925659,0.734375,0.3910711109638214,0.853467583656311,2023-10-27 23:39:30,selu,binary_crossentropy,adam,sigmoid,64,grayscale,False,256,256,bilinear,binary,50,10000000000,0.001
chive_cartridge,0.5449140071868896,0.6607142686843872,0.48285114765167236,0.7315436005592346,2023-10-29 14:46:53,relu,binary_crossentropy,adam,sigmoid,128,rgb,False,128,128,bilinear,binary,50,10000000000,0.001
dab_dental,0.5507944226264954,0.7410714030265808,0.40651416778564453,0.8322147727012634,2023-10-29 00:14:57,selu,binary_crossentropy,adam,sigmoid,32,grayscale,False,256,256,bilinear,binary,50,10000000000,0.001
sulfate_plop,0.5508900880813599,0.6339285969734192,0.5228201150894165,0.6655480861663818,2023-10-30 06:19:42,relu,binary_crossentropy,adam,sigmoid,64,rgb,False,128,128,bilinear,binary,50,10000000000,
promptly_balance,0.5527713894844055,0.7410714030265808,0.2689322531223297,0.9021252989768982,2023-10-29 16:18:04,relu,binary_crossentropy,adam,sigmoid,128,rgb,False,256,256,bilinear,binary,50,10000000000,0.001
yearbook_zigzagged,0.5567030906677246,0.7455357313156128,0.5944440364837646,0.7114093899726868,2023-10-29 10:39:42,swish,binary_crossentropy,adam,sigmoid,64,rgb,False,256,256,bilinear,binary,50,10000000000,0.001
dial_lens,0.5644195079803467,0.7142857313156128,0.5460110902786255,0.7293064594268799,2023-10-28 00:29:52,swish,binary_crossentropy,adam,sigmoid,64,grayscale,False,256,256,bilinear,binary,50,10000000000,0.001
patriot_washroom,0.5665642023086548,0.6986607313156128,0.5019737482070923,0.7852349281311035,2023-10-29 03:17:25,selu,binary_crossentropy,adam,sigmoid,32,rgb,False,256,256,bilinear,binary,50,10000000000,0.001
contact_surround,0.5732558965682983,0.7209821343421936,0.40298619866371155,0.8428411483764648,2023-10-30 03:35:41,selu,binary_crossentropy,adam,sigmoid,64,grayscale,False,128,128,bilinear,binary,50,10000000000,
rack_untie,0.6931471824645996,0.5,0.6931519508361816,0.5,2023-10-30 05:46:14,relu,binary_crossentropy,adam,sigmoid,64,rgb,False,32,32,bilinear,binary,50,10000000000,
